 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0.00104	10.4444	2	-4.86983e-17	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.44618e-11	3.34353	3.71154	1.36794	

0.00105	10.4444	2	-9.55418e-17	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.51545e-11	3.34353	3.71154	1.36794	

0.00106	10.4444	2	-1.71062e-16	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.39875e-11	3.34353	3.71154	1.36794	

0.00107	10.4444	2	-3.18393e-16	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.43792e-11	3.34353	3.71154	1.36794	

0.00108	10.4444	2	-6.18573e-16	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-5.94924e-11	3.34353	3.71154	1.36794	

0.00109	10.4444	2	-1.21108e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.1721e-10	3.34353	3.71154	1.36794	

0.0011	10.4444	2	-2.36486e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.30392e-10	3.34353	3.71154	1.36794	

0.00111	10.4444	2	-4.64327e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.39265e-10	3.34353	3.71154	1.36794	

0.00112	10.4444	2	-9.1383e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-8.58353e-10	3.34353	3.71154	1.36794	

0.00113	10.4444	2	-1.79815e-14	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.67371e-09	3.34353	3.71154	1.36794	

0.00114	10.4444	2	-3.53925e-14	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.28533e-09	3.34353	3.71154	1.36794	

0.00115	10.4444	2	-6.96601e-14	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-6.45592e-09	3.34353	3.71154	1.36794	

0.00116	10.4444	2	-1.37092e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.27267e-08	3.34353	3.71154	1.36794	

0.00117	10.4444	2	-2.69842e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.50335e-08	3.34353	3.71154	1.36794	

0.00118	10.4444	2	-5.31207e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.92865e-08	3.34353	3.71154	1.36794	

0.00119	10.4444	2	-1.04572e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-9.7006e-08	3.34353	3.71154	1.36794	

0.0012	10.4444	2	-2.05857e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.90966e-07	3.34353	3.71154	1.36794	

0.00121	10.4444	2	-4.05247e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.75929e-07	3.34353	3.71154	1.36794	

0.00122	10.4444	2	-7.97766e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-7.40047e-07	3.34353	3.71154	1.36794	

0.00123	10.4444	2	-1.57048e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.45685e-06	3.34353	3.71154	1.36794	

0.00124	10.4444	2	-3.09164e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.86795e-06	3.34353	3.71154	1.36794	

0.00125	10.4444	2	-6.0862e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-5.64587e-06	3.34353	3.71154	1.36794	

0.00126	10.4444	2	-1.19813e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.11144e-05	3.34353	3.71154	1.36794	

0.00127	10.4444	2	-2.35863e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.18799e-05	3.34353	3.71154	1.36794	

