 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0.0026	11.9851	1.00132	-0.0162402	0.0590338	-105.965	-2.13159	-4.80345	-73.6453	3.48145	-91.9613	174.878	3.66079	4.45435	1.80128	

0.00265	11.9852	1.0013	-0.0156696	0.0588841	-105.967	-2.10246	-4.8123	-73.6444	3.4821	-91.9617	174.804	3.6608	4.45437	1.80129	

0.0027	11.9852	1.00127	-0.0149878	0.0587102	-105.968	-2.06791	-4.82252	-73.6433	3.48287	-91.9621	174.717	3.66081	4.4544	1.80131	

0.00275	11.9853	1.00125	-0.0141834	0.0585114	-105.97	-2.02743	-4.83414	-73.6419	3.48379	-91.9624	174.616	3.66082	4.45443	1.80133	

0.0028	11.9854	1.00123	-0.0132459	0.0582876	-105.972	-1.9806	-4.84714	-73.6402	3.48485	-91.9627	174.5	3.66083	4.45446	1.80136	

0.00285	11.9855	1.0012	-0.0121667	0.0580396	-105.974	-1.9271	-4.86146	-73.6383	3.48608	-91.963	174.37	3.66084	4.4545	1.80138	

0.0029	11.9855	1.00117	-0.0109398	0.0577691	-105.976	-1.86673	-4.87701	-73.6361	3.48747	-91.9632	174.225	3.66086	4.45454	1.80141	

0.00295	11.9856	1.00113	-0.00956233	0.0574786	-105.978	-1.79947	-4.89362	-73.6337	3.48903	-91.9633	174.065	3.66087	4.45458	1.80144	

0.003	11.9857	1.0011	-0.00803512	0.0571718	-105.98	-1.72549	-4.91108	-73.631	3.49077	-91.9633	173.892	3.66089	4.45462	1.80147	

0.00305	11.9859	1.00106	-0.00636331	0.0568528	-105.982	-1.64515	-4.92916	-73.6281	3.49266	-91.9633	173.708	3.66091	4.45467	1.8015	

0.0031	11.986	1.00101	-0.00455663	0.0565254	-105.984	-1.55906	-4.94752	-73.6252	3.49471	-91.9632	173.516	3.66092	4.45472	1.80154	

0.00315	11.9861	1.00097	-0.00262948	0.0561965	-105.986	-1.46802	-4.96574	-73.6222	3.49689	-91.9631	173.317	3.66094	4.45477	1.80157	

0.0032	11.9862	1.00093	-0.000600726	0.0558763	-105.988	-1.37302	-4.98336	-73.6192	3.49919	-91.9629	173.117	3.66096	4.45482	1.80161	

0.00325	11.9863	1.00088	0.00150692	0.0555731	-105.99	-1.27524	-5.00005	-73.6163	3.50156	-91.9628	172.92	3.66098	4.45487	1.80164	

0.0033	11.9864	1.00084	0.00367006	0.0552926	-105.992	-1.17607	-5.01556	-73.6136	3.50397	-91.9627	172.731	3.661	4.45492	1.80168	

0.00335	11.9865	1.0008	0.00586612	0.0550393	-105.995	-1.07728	-5.02967	-73.6113	3.50638	-91.9627	172.556	3.66102	4.45496	1.80171	

0.0034	11.9866	1.00075	0.00804481	0.0548157	-105.997	-0.981077	-5.04224	-73.6093	3.50871	-91.9629	172.404	3.66103	4.45501	1.80174	

0.00345	11.9867	1.00071	0.0101516	0.0546228	-105.999	-0.888901	-5.05322	-73.6077	3.51091	-91.9632	172.281	3.66104	4.45504	1.80176	

0.0035	11.9868	1.00068	0.0121595	0.0544601	-106.001	-0.801904	-5.06261	-73.6066	3.51294	-91.9637	172.192	3.66106	4.45507	1.80179	

0.00355	11.9869	1.00064	0.014045	0.0543264	-106.003	-0.72099	-5.07049	-73.6061	3.51476	-91.9644	172.143	3.66106	4.4551	1.8018	

0.0036	11.9869	1.00061	0.0157896	0.0542196	-106.004	-0.646801	-5.07696	-73.6061	3.51633	-91.9655	172.139	3.66107	4.45511	1.80182	

0.00365	11.9869	1.00058	0.0173809	0.0541367	-106.006	-0.579733	-5.08215	-73.6068	3.51761	-91.967	172.187	3.66107	4.45512	1.80182	

0.0037	11.9869	1.00055	0.0188119	0.0540749	-106.007	-0.519945	-5.08622	-73.6082	3.51857	-91.9689	172.293	3.66107	4.45512	1.80182	

0.00375	11.9869	1.00052	0.0200807	0.0540308	-106.008	-0.467381	-5.08933	-73.6104	3.51916	-91.9714	172.462	3.66106	4.4551	1.80182	

0.0038	11.9869	1.0005	0.0211902	0.0540012	-106.009	-0.421796	-5.09164	-73.6134	3.51934	-91.9746	172.702	3.66105	4.45508	1.80181	

0.00385	11.9868	1.00048	0.0221472	0.053983	-106.01	-0.382796	-5.0933	-73.6174	3.51906	-91.9785	173.02	3.66104	4.45505	1.80179	

0.0039	11.9867	1.00047	0.0229616	0.0539737	-106.011	-0.349875	-5.09444	-73.6225	3.51824	-91.9833	173.424	3.66102	4.455	1.80176	

0.00395	11.9866	1.00045	0.0236453	0.053971	-106.012	-0.32245	-5.09521	-73.6287	3.51682	-91.989	173.923	3.66099	4.45494	1.80173	

0.004	11.9865	1.00044	0.0242117	0.0539718	-106.013	-0.299905	-5.09572	-73.6361	3.5147	-91.9958	174.528	3.66096	4.45487	1.80169	

0.00405	11.9863	1.00043	0.0246747	0.0539743	-106.013	-0.281612	-5.09602	-73.645	3.51175	-92.0037	175.251	3.66092	4.45478	1.80164	

0.0041	11.9861	1.00043	0.0250483	0.0539782	-106.014	-0.266962	-5.09619	-73.6554	3.50785	-92.013	176.103	3.66087	4.45467	1.80158	

